iter	Passed	Remaining
0	2	249
1	4	221
2	6	197
3	7	178
4	9	173
5	11	174
6	13	178
7	14	172
8	16	164
9	17	157
10	18	151
11	19	145
12	20	140
13	22	136
14	23	132
15	26	139
16	28	136
17	29	133
18	30	129
19	32	131
20	33	127
21	36	128
22	37	125
23	38	123
24	40	121
25	42	121
26	45	122
27	46	119
28	47	116
29	48	114
30	49	110
31	50	107
32	51	104
33	52	102
34	53	99
35	54	96
36	56	96
37	58	94
38	59	92
39	60	90
40	61	88
41	61	85
42	62	83
43	64	81
44	64	79
45	66	77
46	86	97
47	88	95
48	92	96
49	95	95
50	96	93
51	98	90
52	99	88
53	100	85
54	102	83
55	104	81
56	105	79
57	106	77
58	107	74
59	108	72
60	110	70
61	111	68
62	113	66
63	114	64
64	115	62
65	117	60
66	118	58
67	119	56
68	120	54
69	121	52
70	122	49
71	123	47
72	124	46
73	125	44
74	126	42
75	127	40
76	128	38
77	129	36
78	130	34
79	131	32
80	132	31
81	133	29
82	134	27
83	135	25
84	135	23
85	137	22
86	138	20
87	139	18
88	140	17
89	141	15
90	142	14
91	143	12
92	145	10
93	146	9
94	147	7
95	148	6
96	149	4
97	150	3
98	151	1
99	152	0
