iter	Passed	Remaining
0	156	156777
1	158	79048
2	161	53833
3	163	40740
4	165	32911
5	167	27701
6	168	23950
7	171	21282
8	175	19279
9	176	17514
10	178	16078
11	180	14858
12	182	13818
13	183	12926
14	185	12148
15	186	11497
16	188	10911
17	190	10381
18	192	9940
19	194	9522
20	195	9130
21	197	8778
22	198	8442
23	200	8136
24	203	7919
25	204	7658
26	205	7415
27	207	7194
28	208	6989
29	210	6790
30	211	6608
31	212	6437
32	214	6276
33	217	6183
34	219	6061
35	221	5928
36	222	5799
37	224	5681
38	225	5563
39	227	5453
40	228	5349
41	232	5292
42	233	5197
43	235	5107
44	236	5016
45	238	4936
46	239	4855
47	240	4776
48	242	4702
49	243	4628
50	246	4581
51	247	4517
52	249	4452
53	250	4388
54	252	4330
55	253	4274
56	255	4222
57	256	4170
58	258	4129
59	260	4085
60	262	4036
61	263	3990
62	265	3951
63	267	3908
64	268	3864
65	270	3822
66	271	3782
67	273	3755
68	275	3721
69	277	3684
70	278	3645
71	280	3610
72	281	3575
73	282	3540
74	284	3506
75	285	3476
76	287	3443
77	290	3434
78	292	3405
79	293	3379
80	295	3350
81	297	3330
82	298	3295
83	299	3270
84	301	3246
85	304	3236
86	308	3236
87	313	3248
88	317	3253
89	320	3241
90	322	3219
91	324	3197
92	328	3207
93	330	3184
94	331	3162
95	333	3141
96	336	3130
97	338	3112
98	339	3091
99	341	3072
100	343	3059
101	346	3046
102	348	3034
103	352	3041
104	354	3020
105	357	3011
106	358	2991
107	360	2974
108	361	2956
109	363	2938
110	365	2928
111	369	2929
112	371	2914
113	372	2896
114	374	2878
115	375	2861
116	376	2841
117	377	2824
118	379	2808
119	381	2800
120	383	2785
121	384	2767
122	385	2751
123	387	2736
124	388	2721
125	390	2710
126	392	2694
127	393	2681
128	396	2675
129	397	2661
130	399	2647
131	400	2633
132	401	2619
133	403	2605
134	404	2592
135	405	2578
136	407	2565
137	409	2556
138	410	2544
139	412	2531
140	413	2518
141	414	2503
142	415	2491
143	416	2478
144	418	2466
145	419	2455
146	421	2444
147	422	2433
148	425	2430
149	427	2421
150	428	2411
151	430	2400
152	431	2389
153	433	2379
154	434	2369
155	436	2359
156	437	2350
157	440	2345
158	441	2336
159	443	2326
160	443	2313
161	445	2303
162	446	2293
163	447	2283
164	449	2273
165	450	2264
166	455	2270
167	456	2261
168	458	2252
169	459	2242
170	460	2233
171	461	2223
172	463	2214
173	464	2205
174	465	2196
175	467	2187
176	470	2187
177	471	2179
178	473	2171
179	474	2163
180	476	2157
181	478	2150
182	480	2143
183	481	2135
184	485	2137
